certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace Grands Crus,,Florimont,Blanc,Gewurztraminer,AOC Alsace Grands Crus Florimont Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Frankstein,Blanc,Riesling,AOC Alsace Grands Crus Frankstein Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Frankstein,Blanc,Pinot Gris,AOC Alsace Grands Crus Frankstein Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Frankstein,Blanc,Muscat,AOC Alsace Grands Crus Frankstein Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Frankstein,Blanc,Gewurztraminer,AOC Alsace Grands Crus Frankstein Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Froehn,Blanc,Riesling,AOC Alsace Grands Crus Froehn Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Froehn,Blanc,Pinot Gris,AOC Alsace Grands Crus Froehn Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Froehn,Blanc,Muscat,AOC Alsace Grands Crus Froehn Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Froehn,Blanc,Gewurztraminer,AOC Alsace Grands Crus Froehn Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Furstentum,Blanc,Riesling,AOC Alsace Grands Crus Furstentum Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Furstentum,Blanc,Pinot Gris,AOC Alsace Grands Crus Furstentum Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Furstentum,Blanc,Muscat,AOC Alsace Grands Crus Furstentum Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Furstentum,Blanc,Gewurztraminer,AOC Alsace Grands Crus Furstentum Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Geisberg,Blanc,Riesling,AOC Alsace Grands Crus Geisberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Geisberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Geisberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Geisberg,Blanc,Muscat,AOC Alsace Grands Crus Geisberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Geisberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Geisberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Gloeckelberg,Blanc,Riesling,AOC Alsace Grands Crus Gloeckelberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Gloeckelberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Gloeckelberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Gloeckelberg,Blanc,Muscat,AOC Alsace Grands Crus Gloeckelberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Gloeckelberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Gloeckelberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Goldert,Blanc,Riesling,AOC Alsace Grands Crus Goldert Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Goldert,Blanc,Pinot Gris,AOC Alsace Grands Crus Goldert Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Goldert,Blanc,Muscat,AOC Alsace Grands Crus Goldert Muscat
